latitude,longitude,speed_kmh,off_route_distance_m,halt_duration_sec,is_anomaly
28.675112,77.227972,8.2,24.8,66.0,0
28.615585,77.275846,68.5,0.6,12.0,0
28.560655,77.224881,64.6,173.1,249.0,0
28.574742,77.192167,34.0,196.2,81.0,0
28.641963,77.179996,30.2,109.1,44.0,0
28.553726,77.246117,34.2,224.5,42.0,0
28.581405,77.163448,33.6,24.7,58.0,0
28.636145,77.235941,34.4,82.9,12.0,0
28.577941,77.197082,11.7,108.5,55.0,0
28.681539,77.176601,1.1,290.8,4.0,1
28.558596,77.175738,61.0,182.7,56.0,0
28.446092,77.266767,27.5,4.9,51.0,0
28.571589,77.175622,39.3,33.1,27.0,0
28.626006,77.204539,24.6,76.4,6.0,0
28.653666,77.195067,30.5,154.7,48.0,0
28.590081,77.271458,6.0,26.2,35.0,0
28.596638,77.295415,29.6,0.6,22.0,0
28.608956,77.263942,37.0,16.6,34.0,0
28.697596,77.199718,66.6,44.3,4.0,0
28.629438,77.235613,25.8,5.0,5.0,0
28.585861,77.173015,7.1,3.5,9.0,0
28.713088,77.229021,60.7,41.1,48.0,0
28.61106,77.130646,30.1,83.5,20.0,0
28.506734,77.230264,73.2,99.2,16.0,0
28.541159,77.215741,76.7,60.9,60.0,0
28.638412,77.240538,69.7,45.8,55.0,0
28.521639,77.217884,18.1,1.5,25.0,0
28.635403,77.260253,20.3,24.4,166.0,0
28.571502,77.180325,63.5,88.7,30.0,0
28.669386,77.256324,35.7,47.8,13.0,0
28.618876,77.242116,23.8,24.5,132.0,0
28.528649,77.272975,23.5,20.8,73.0,0
28.656211,77.276335,46.2,1.4,83.0,0
28.67868,77.170905,71.6,139.5,113.0,0
28.546658,77.244352,49.5,168.3,95.0,0
28.570361,77.160216,49.6,36.4,113.0,0
28.635619,77.276483,59.8,96.7,16.0,0
28.644586,77.175844,60.8,5.4,57.0,0
28.728162,77.199499,72.8,175.7,68.0,0
28.655045,77.229378,13.0,189.8,21.0,0
28.730539,77.255424,78.8,13.6,310.0,0
28.611471,77.237065,26.3,121.4,99.0,0
28.629681,77.256782,22.5,51.3,148.0,0
28.582094,77.219124,40.8,91.4,10.0,0
28.58437,77.230705,21.1,51.5,2.0,0
28.617855,77.130159,18.6,6.6,2.0,0
28.581375,77.269805,77.3,146.6,121.0,0
28.482296,77.203941,8.3,7.2,47.0,0
28.57716,77.196978,79.2,35.7,22.0,0
28.664335,77.31534,49.8,341.3,98.0,1
28.61414,77.083058,76.7,44.5,62.0,0
28.61442,77.223264,71.8,137.3,58.0,0
28.572328,77.106507,51.9,14.8,96.0,0
28.627148,77.235475,47.2,141.8,38.0,0
28.693433,77.183544,79.4,49.5,11.0,0
28.680535,77.071785,41.2,57.1,150.0,0
28.628793,77.272956,14.3,277.0,120.0,1
28.567814,77.154011,79.4,173.8,17.0,0
28.69886,77.265937,25.9,34.2,24.0,0
28.663462,77.169767,7.0,238.7,103.0,0
28.536458,77.195286,57.4,8.7,215.0,0
28.52266,77.10432,35.7,2.1,90.0,0
28.539228,77.239732,31.0,60.9,3.0,0
28.585817,77.189803,50.5,117.5,31.0,0
28.655589,77.200172,4.2,20.0,90.0,0
28.654398,77.213749,55.9,6.7,38.0,0
28.627536,77.136099,40.3,149.4,68.0,0
28.603477,77.253055,39.2,343.3,2.0,1
28.729065,77.190325,72.0,94.8,14.0,0
28.612199,77.33326,66.5,296.0,85.0,1
28.606151,77.19452,42.5,143.0,13.0,0
28.585121,77.199021,46.3,23.2,213.0,0
28.7211,77.150671,64.6,9.3,27.0,0
28.646545,77.13782,32.9,132.4,13.0,0
28.558776,77.262384,53.7,86.2,13.0,0
28.552852,77.271557,43.3,134.1,12.0,0
28.526498,77.19023,40.0,101.4,26.0,0
28.605662,77.224566,78.8,56.3,52.0,0
28.535576,77.280593,1.4,226.2,129.0,0
28.55212,77.232973,33.2,112.1,163.0,0
28.663917,77.242741,74.4,0.7,55.0,0
28.65505,77.222863,74.3,97.5,60.0,0
28.68507,77.185874,59.8,62.8,44.0,0
28.536984,77.237773,47.4,11.9,25.0,0
28.560384,77.311737,55.3,45.7,46.0,0
28.579072,77.192479,20.2,59.4,11.0,0
28.692504,77.261873,39.1,50.6,23.0,0
28.613644,77.227568,42.9,45.6,13.0,0
28.701601,77.189011,5.1,79.8,110.0,0
28.641872,77.263264,69.3,86.0,11.0,0
28.604879,77.25745,36.5,95.7,82.0,0
28.639192,77.24752,71.9,114.6,4.0,0
28.524031,77.305931,31.2,143.3,65.0,0
28.507788,77.310277,32.7,68.3,87.0,0
28.623463,77.221198,19.5,6.1,6.0,0
28.61122,77.213194,51.5,36.3,89.0,0
28.707181,77.147131,43.9,0.3,53.0,0
28.541553,77.29516,73.0,72.4,70.0,0
28.629123,77.214848,34.3,295.3,77.0,1
28.645264,77.188058,51.8,140.4,11.0,0
28.627641,77.171829,56.6,53.3,96.0,0
28.665447,77.171473,25.6,98.5,91.0,0
28.578881,77.306436,70.5,108.3,62.0,0
28.652112,77.263414,30.5,72.3,42.0,0
28.638576,77.144101,51.0,173.4,114.0,0
28.668793,77.146122,49.3,31.1,128.0,0
28.584942,77.224593,33.7,89.5,24.0,0
28.55119,77.167677,14.7,5.3,46.0,0
28.579072,77.205897,47.4,11.9,36.0,0
28.557347,77.296151,30.0,223.0,33.0,0
28.582251,77.271971,30.3,62.7,106.0,0
28.593786,77.132931,39.4,112.3,65.0,0
28.56493,77.167944,54.2,162.8,39.0,0
28.610889,77.230785,58.4,217.6,93.0,0
28.551549,77.274988,34.2,7.5,172.0,0
28.60684,77.177407,9.6,96.8,31.0,0
28.585739,77.236926,63.3,79.5,9.0,0
28.604438,77.195754,53.6,73.3,151.0,0
28.630168,77.306103,64.1,12.6,189.0,0
28.589588,77.249621,25.3,118.7,32.0,0
28.571602,77.208837,72.7,30.3,63.0,0
28.577774,77.143767,21.0,20.1,6.0,0
28.661656,77.165427,23.2,98.3,3.0,0
28.674316,77.092239,42.9,19.4,6.0,0
28.584755,77.232112,79.8,55.2,89.0,0
28.602773,77.251802,16.2,30.6,37.0,0
28.52528,77.254323,67.1,138.7,64.0,0
28.601403,77.1878,0.2,247.0,49.0,0
28.537922,77.282504,19.0,139.3,13.0,0
28.586083,77.297678,27.7,40.5,101.0,0
28.664369,77.185232,51.9,14.2,14.0,0
28.535405,77.277576,9.1,95.9,12.0,0
28.565399,77.225493,10.3,187.2,58.0,0
28.565645,77.192162,11.7,41.1,122.0,0
28.527057,77.28006,53.0,3.3,121.0,0
28.653635,77.158174,9.2,10.6,35.0,0
28.624362,77.144253,31.9,38.6,69.0,0
28.700943,77.19869,12.5,55.3,105.0,0
28.560734,77.207073,30.6,27.5,15.0,0
28.521892,77.136335,57.1,53.5,30.0,0
28.657566,77.243033,22.2,255.1,60.0,1
28.592458,77.179474,49.4,6.4,110.0,0
28.587169,77.153033,19.9,130.2,25.0,0
28.684401,77.250984,59.0,48.6,58.0,0
28.618988,77.19703,62.2,84.8,4.0,0
28.65571,77.271378,24.8,278.9,162.0,1
28.579368,77.241462,1.9,49.2,136.0,0
28.574243,77.208602,10.3,8.1,153.0,0
28.592231,77.273399,39.3,140.8,207.0,0
28.644018,77.239518,30.6,24.6,112.0,0
28.613045,77.217514,27.6,188.5,14.0,0
28.633898,77.244086,46.3,6.8,52.0,0
28.480338,77.245713,12.9,20.7,12.0,0
28.516402,77.16378,36.5,275.5,1.0,1
28.502816,77.336409,16.3,169.8,9.0,0
28.591535,77.221882,78.5,19.8,111.0,0
28.540617,77.222882,3.9,119.9,82.0,0
28.694983,77.130644,1.3,7.2,86.0,0
28.609431,77.224927,45.1,13.7,31.0,0
28.621334,77.227091,5.0,16.1,2.0,0
28.55601,77.16101,64.9,3.5,23.0,0
28.554451,77.166522,65.6,53.0,36.0,0
28.688062,77.173535,34.6,39.6,27.0,0
28.699621,77.203745,67.1,71.2,42.0,0
28.631291,77.229165,59.2,93.4,57.0,0
28.508913,77.207351,10.8,72.4,8.0,0
28.589226,77.233638,68.8,26.1,143.0,0
28.626163,77.252264,69.9,6.9,49.0,0
28.599102,77.245644,25.8,105.3,116.0,0
28.504492,77.236705,62.0,29.6,39.0,0
28.702976,77.232784,71.8,22.7,79.0,0
28.568725,77.23296,59.7,93.8,135.0,0
28.543443,77.211162,7.5,46.7,55.0,0
28.608956,77.185508,7.6,18.3,32.0,0
28.669713,77.213842,78.6,116.4,51.0,0
28.636151,77.251158,43.3,131.3,11.0,0
28.544718,77.250874,51.6,337.5,73.0,1
28.53647,77.243893,73.0,50.5,2.0,0
28.500921,77.19474,0.6,3.0,36.0,0
28.59592,77.207677,34.1,58.3,47.0,0
28.586845,77.207868,45.3,1.9,31.0,0
28.636194,77.188147,0.2,235.9,40.0,0
28.576224,77.263197,50.0,15.4,12.0,0
28.659185,77.12647,68.1,207.6,5.0,0
28.643234,77.3196,4.4,239.7,35.0,0
28.574056,77.322194,64.3,119.5,163.0,0
28.630059,77.221,78.2,7.3,12.0,0
28.676949,77.23876,73.6,65.4,20.0,0
28.562465,77.260958,43.0,35.0,127.0,0
28.599834,77.180603,68.8,137.3,19.0,0
28.598861,77.24688,61.7,28.8,29.0,0
28.592614,77.284453,65.4,48.0,6.0,0
28.650595,77.128364,31.8,68.2,3.0,0
28.654554,77.146466,38.0,2.9,65.0,0
28.630834,77.25601,19.1,75.1,10.0,0
28.628447,77.204996,4.1,33.8,49.0,0
28.58239,77.199169,47.8,60.3,34.0,0
28.627026,77.202142,24.8,10.7,6.0,0
28.546242,77.162151,40.2,32.7,34.0,0
28.734427,77.19799,77.0,69.7,17.0,0
28.678013,77.152482,5.1,67.8,117.0,0
28.658327,77.283936,69.9,13.8,18.0,0
28.630917,77.225163,6.9,42.9,72.0,0
28.630959,77.223828,52.3,58.6,69.0,0
28.525994,77.251832,27.5,6.8,13.0,0
28.547569,77.358011,8.0,73.2,49.0,0
28.553802,77.165875,60.6,21.1,110.0,0
28.613418,77.126389,55.9,202.3,6.0,0
28.596424,77.216966,51.2,25.0,57.0,0
28.651066,77.127164,77.2,123.9,11.0,0
28.562223,77.201567,1.9,69.8,17.0,0
28.661831,77.262224,34.8,92.5,63.0,0
28.569481,77.2949,45.0,185.6,61.0,0
28.589602,77.140212,28.6,150.6,66.0,0
28.655272,77.171336,53.6,10.9,47.0,0
28.635733,77.236673,71.9,217.1,92.0,0
28.547927,77.256198,55.8,11.9,63.0,0
28.663703,77.25904,45.5,30.4,14.0,0
28.614949,77.292256,59.0,59.2,6.0,0
28.50339,77.25493,8.8,216.7,1.0,0
28.568366,77.212506,50.4,78.9,0.0,0
28.590019,77.271599,32.6,166.3,7.0,0
28.552033,77.22199,25.5,227.4,34.0,0
28.677636,77.232236,40.6,110.4,0.0,0
28.591762,77.193789,64.4,52.6,29.0,0
28.633509,77.226338,33.0,39.3,90.0,0
28.620829,77.137019,56.2,25.7,8.0,0
28.645787,77.270236,47.1,56.5,93.0,0
28.694153,77.168044,73.3,3.9,13.0,0
28.644285,77.174097,35.6,20.7,16.0,0
28.697631,77.102173,65.6,35.5,17.0,0
28.645613,77.177375,67.4,153.6,23.0,0
28.617077,77.170579,37.1,37.7,42.0,0
28.626573,77.229364,39.1,21.9,68.0,0
28.479232,77.153773,26.7,122.1,90.0,0
28.587742,77.196297,39.6,229.4,1.0,0
28.603321,77.184496,19.9,119.3,9.0,0
28.632403,77.130493,68.7,10.8,83.0,0
28.609225,77.230406,20.0,30.9,89.0,0
28.627194,77.207538,20.6,73.9,173.0,0
28.544341,77.220497,71.7,17.5,21.0,0
28.531433,77.26001,42.6,81.0,15.0,0
28.551343,77.218877,8.4,21.5,51.0,0
28.68906,77.201852,27.7,62.6,5.0,0
28.547105,77.264631,56.4,98.1,78.0,0
28.57107,77.202216,32.5,123.6,39.0,0
28.615758,77.19327,33.9,129.0,74.0,0
28.530919,77.251978,39.9,119.2,10.0,0
28.566883,77.179499,17.8,11.8,38.0,0
28.644339,77.276862,33.9,363.2,25.0,1
28.588598,77.22652,17.2,118.3,38.0,0
28.694674,77.296949,28.1,8.8,49.0,0
28.525572,77.215505,42.6,95.7,69.0,0
28.59322,77.265913,55.5,50.8,121.0,0
28.588611,77.136542,50.7,44.7,16.0,0
28.610053,77.282605,46.0,90.3,33.0,0
28.549162,77.252965,47.6,14.7,7.0,0
28.581476,77.186227,40.9,597.5,24.0,1
28.649956,77.261746,49.2,62.9,29.0,0
28.59703,77.155142,30.0,72.2,35.0,0
28.557014,77.193633,72.0,44.3,157.0,0
28.714503,77.175946,47.2,74.5,144.0,0
28.612955,77.2645,74.9,87.3,4.0,0
28.641167,77.280916,32.4,33.9,32.0,0
28.648707,77.196052,31.6,49.6,23.0,0
28.606962,77.154929,77.2,23.6,27.0,0
28.571013,77.169656,58.3,118.3,83.0,0
28.62046,77.223104,41.5,107.0,13.0,0
28.575494,77.219964,57.5,133.3,85.0,0
28.629078,77.201495,31.7,97.1,149.0,0
28.602288,77.177015,60.7,1.6,71.0,0
28.661971,77.299921,16.8,17.0,32.0,0
28.553425,77.1875,76.1,39.4,4.0,0
28.646426,77.176857,36.9,21.3,7.0,0
28.641189,77.275866,7.4,60.7,75.0,0
28.598549,77.204376,67.6,182.7,7.0,0
28.64701,77.244096,71.5,107.2,32.0,0
28.631445,77.174742,58.4,24.8,123.0,0
28.643858,77.243804,50.4,40.5,46.0,0
28.640676,77.25526,74.3,4.3,25.0,0
28.613006,77.162685,49.8,0.5,16.0,0
28.58069,77.191796,63.3,44.3,47.0,0
28.580112,77.173258,37.7,104.1,25.0,0
28.599768,77.192099,58.2,157.8,192.0,0
28.652657,77.298554,79.9,45.2,1.0,0
28.642112,77.231345,30.6,15.9,174.0,0
28.660799,77.315901,57.6,24.2,14.0,0
28.665814,77.292639,11.9,47.2,51.0,0
28.59965,77.275045,50.8,83.9,18.0,0
28.708621,77.291219,25.8,62.6,102.0,0
28.605301,77.276497,69.3,146.9,72.0,0
28.585805,77.303726,28.8,1.5,16.0,0
28.627167,77.245733,35.6,387.5,50.0,1
28.634686,77.252816,78.4,211.8,144.0,0
28.573422,77.251396,17.2,13.0,15.0,0
28.602567,77.196527,45.2,3.9,101.0,0
28.588151,77.260809,69.1,76.9,94.0,0
28.617577,77.28139,25.2,102.2,29.0,0
28.650293,77.188479,1.2,51.6,2.0,0
28.597205,77.175638,71.7,26.1,11.0,0
28.639136,77.190949,49.6,81.5,39.0,0
28.541058,77.286337,18.4,80.8,38.0,0
28.654989,77.206644,22.1,12.8,7.0,0
28.587828,77.163293,64.0,128.5,20.0,0
28.586937,77.166573,51.4,110.7,28.0,0
28.630517,77.173309,58.6,7.1,102.0,0
28.633145,77.182856,46.2,49.7,137.0,0
28.604885,77.148552,63.2,40.0,56.0,0
28.56606,77.248781,65.7,49.7,19.0,0
28.586522,77.209033,31.0,49.5,69.0,0
28.615262,77.245223,72.1,59.4,174.0,0
28.634992,77.103629,40.4,26.0,7.0,0
28.569353,77.272121,12.8,50.7,20.0,0
28.578493,77.214394,17.5,8.4,47.0,0
28.623647,77.243501,58.7,15.6,25.0,0
28.606339,77.294566,30.2,7.4,120.0,0
28.617825,77.236892,21.0,16.5,18.0,0
28.479778,77.32408,48.4,0.3,129.0,0
28.595754,77.124514,62.6,3.1,107.0,0
28.653163,77.202622,8.7,127.4,11.0,0
28.579706,77.128327,35.9,17.8,6.0,0
28.634826,77.23422,61.7,58.7,68.0,0
28.550063,77.222325,72.3,37.0,31.0,0
28.532361,77.163891,1.1,31.9,16.0,0
28.631391,77.327175,52.5,155.6,148.0,0
28.607777,77.200528,47.8,53.3,6.0,0
28.593706,77.108191,41.4,58.2,107.0,0
28.652823,77.252509,12.8,49.2,49.0,0
28.594908,77.253284,59.3,25.1,8.0,0
28.578869,77.194525,31.4,92.0,28.0,0
28.573459,77.257918,18.8,3.9,46.0,0
28.562883,77.170988,68.0,26.4,11.0,0
28.633832,77.197643,24.6,86.7,8.0,0
28.594895,77.238185,15.9,2.7,19.0,0
28.667626,77.264717,25.0,2.1,49.0,0
28.462883,77.207289,14.5,37.3,89.0,0
28.656642,77.194379,62.2,23.1,196.0,0
28.628481,77.216439,14.6,96.6,10.0,0
28.605959,77.116181,57.3,112.8,1.0,0
28.545929,77.204522,13.0,3.0,241.0,0
28.527506,77.119472,18.1,45.9,9.0,0
28.648055,77.176419,27.4,229.5,84.0,0
28.622607,77.14738,76.0,30.0,89.0,0
28.621661,77.244913,73.1,17.5,5.0,0
28.605376,77.181954,6.8,58.9,100.0,0
28.65299,77.280395,26.9,48.0,17.0,0
28.581206,77.126138,27.7,19.8,95.0,0
28.59368,77.206325,16.9,20.6,23.0,0
28.60167,77.222727,34.8,92.8,83.0,0
28.599817,77.243004,59.8,31.2,110.0,0
28.677329,77.32618,7.9,341.7,0.0,1
28.547778,77.120164,53.7,27.4,44.0,0
28.512771,77.180621,20.9,63.5,25.0,0
28.537799,77.318349,51.4,6.1,111.0,0
28.644683,77.172446,54.6,61.9,40.0,0
28.605461,77.240588,58.3,49.4,29.0,0
28.530564,77.171512,68.9,34.4,10.0,0
28.615483,77.148801,72.0,44.9,20.0,0
28.594301,77.177723,60.7,15.7,307.0,0
28.638475,77.317381,38.5,137.3,117.0,0
28.650213,77.160172,3.5,203.9,22.0,0
28.736408,77.203589,75.0,145.4,58.0,0
28.551392,77.205768,48.1,130.7,370.0,0
28.517362,77.264317,42.8,63.6,70.0,0
28.639956,77.274944,19.2,32.5,25.0,0
28.659836,77.223888,54.7,15.1,2.0,0
28.546715,77.059014,79.6,137.1,96.0,0
28.546764,77.174038,26.4,3.6,20.0,0
28.627718,77.158599,64.0,16.0,9.0,0
28.696224,77.276434,23.3,41.1,7.0,0
28.56667,77.172447,39.0,17.3,7.0,0
28.614853,77.302675,17.1,70.0,7.0,0
28.515543,77.238909,41.0,103.0,44.0,0
28.600571,77.27524,36.7,191.8,87.0,0
28.604818,77.331289,3.1,18.9,134.0,0
28.683877,77.171309,30.5,26.2,70.0,0
28.575166,77.137503,5.0,100.9,6.0,0
28.644821,77.22785,36.1,19.6,176.0,0
28.571912,77.266204,78.4,38.7,0.0,0
28.615017,77.185256,23.4,112.0,84.0,0
28.714366,77.220319,41.3,37.7,242.0,0
28.700155,77.279352,10.4,12.7,135.0,0
28.708528,77.274403,12.3,25.1,76.0,0
28.630379,77.189411,28.4,6.7,45.0,0
28.599987,77.232067,39.2,89.7,460.0,0
28.624746,77.171714,56.1,3.8,59.0,0
28.633802,77.146002,36.5,68.3,107.0,0
28.629966,77.286411,2.0,239.7,12.0,0
28.574931,77.11184,21.7,157.2,61.0,0
28.572922,77.22805,2.0,6.1,1.0,0
28.580687,77.199985,73.4,100.3,99.0,0
28.664016,77.245938,2.3,93.7,32.0,0
28.669452,77.18425,4.0,28.3,18.0,0
28.769672,77.275581,23.9,9.3,18.0,0
28.631782,77.207389,50.6,154.0,234.0,0
28.571079,77.291072,28.6,64.6,121.0,0
28.586555,77.229443,4.9,95.9,93.0,0
28.602625,77.166009,66.9,49.0,42.0,0
28.685812,77.245628,56.0,20.1,31.0,0
28.647147,77.23938,31.7,24.1,54.0,0
28.54316,77.213149,54.2,61.2,47.0,0
28.607658,77.181082,22.0,21.4,131.0,0
28.536926,77.261532,42.2,40.7,217.0,0
28.640124,77.170239,70.4,6.2,160.0,0
28.57516,77.175499,8.6,432.4,88.0,1
28.579938,77.244874,67.8,76.7,31.0,0
28.516563,77.207959,63.1,12.6,86.0,0
28.648341,77.120262,75.9,11.2,91.0,0
28.670933,77.170406,41.1,52.8,11.0,0
28.575853,77.238792,22.0,2.0,103.0,0
28.602399,77.205012,28.2,42.5,146.0,0
28.586535,77.213445,51.2,231.9,83.0,0
28.599587,77.231602,11.3,138.7,69.0,0
28.569517,77.241315,28.1,212.7,15.0,0
28.555487,77.224306,58.1,9.4,61.0,0
28.678931,77.0521,45.9,37.1,60.0,0
28.478514,77.215739,5.0,64.8,28.0,0
28.635706,77.192683,39.7,101.9,7.0,0
28.624667,77.220032,41.9,39.9,34.0,0
28.693196,77.271885,56.1,30.7,152.0,0
28.598681,77.164877,0.9,29.1,91.0,0
28.591935,77.222013,34.3,124.6,26.0,0
28.570077,77.242352,70.9,38.5,13.0,0
28.628278,77.203024,2.0,1.3,37.0,0
28.575088,77.153046,53.8,117.6,85.0,0
28.554061,77.158305,17.9,14.1,69.0,0
28.573646,77.216773,31.0,79.2,129.0,0
28.563159,77.187482,70.7,2.4,22.0,0
28.560202,77.122109,29.0,39.1,41.0,0
28.614765,77.178594,43.6,48.7,18.0,0
28.600773,77.153471,7.2,289.2,89.0,1
28.63798,77.25592,26.0,7.4,33.0,0
28.617861,77.144286,11.3,111.4,34.0,0
28.550364,77.28952,44.9,267.6,101.0,1
28.504372,77.326486,36.8,25.9,79.0,0
28.557692,77.181471,21.2,20.5,38.0,0
28.648688,77.187811,80.0,243.0,28.0,0
28.647555,77.265688,12.3,53.8,70.0,0
28.659734,77.2727,66.0,138.3,171.0,0
28.652397,77.193879,2.9,126.6,33.0,0
28.664857,77.196513,67.7,31.6,2.0,0
28.630816,77.19692,38.2,16.6,127.0,0
28.700647,77.175915,66.3,97.1,11.0,0
28.625183,77.264075,59.8,55.7,139.0,0
28.710463,77.226271,45.8,53.9,106.0,0
28.579181,77.182233,29.7,63.2,65.0,0
28.577903,77.221731,53.2,2.1,112.0,0
28.600881,77.199584,66.6,0.4,18.0,0
28.608626,77.343675,40.3,30.2,116.0,0
28.594438,77.20606,33.2,31.3,49.0,0
28.637483,77.25551,11.4,101.5,12.0,0
28.605384,77.240235,71.7,31.5,18.0,0
28.580141,77.210968,21.4,35.6,94.0,0
28.590699,77.240513,9.9,63.8,111.0,0
28.671381,77.229025,5.3,71.6,125.0,0
28.626358,77.342839,60.1,32.4,12.0,0
28.526686,77.213645,54.0,65.3,139.0,0
28.686031,77.08816,9.6,76.9,41.0,0
28.632175,77.327952,42.4,24.2,300.0,0
28.642457,77.193018,12.2,21.5,39.0,0
28.656954,77.222823,30.7,176.9,17.0,0
28.659537,77.191311,62.6,83.4,4.0,0
28.564544,77.188554,18.2,29.8,66.0,0
28.556989,77.162567,2.2,64.0,0.0,0
28.73032,77.118376,15.5,98.3,108.0,0
28.575596,77.182625,32.0,1.8,22.0,0
28.629433,77.244212,19.3,201.9,66.0,0
28.692073,77.136179,57.8,101.0,42.0,0
28.588325,77.243767,63.1,39.8,64.0,0
28.592494,77.334487,19.2,215.4,3.0,0
28.656823,77.23284,21.5,4.6,13.0,0
28.621144,77.149026,44.8,112.3,134.0,0
28.635256,77.238626,60.2,59.8,32.0,0
28.606479,77.266381,76.7,87.4,50.0,0
28.584182,77.283711,24.0,51.0,37.0,0
28.593853,77.227885,72.9,12.7,145.0,0
28.670199,77.248722,14.5,24.2,13.0,0
28.595719,77.26101,3.3,49.7,110.0,0
28.631936,77.248613,63.4,200.9,4.0,0
28.56206,77.234417,38.3,5.7,117.0,0
28.712514,77.186557,6.1,8.8,140.0,0
28.626444,77.266221,5.7,13.3,94.0,0
28.627481,77.191709,1.1,80.0,19.0,0
28.656814,77.348624,24.5,36.5,7.0,0
28.586455,77.186509,58.8,12.9,42.0,0
28.670187,77.258629,53.2,10.4,66.0,0
28.534685,77.154624,80.0,89.7,103.0,0
28.579779,77.194663,47.5,49.7,42.0,0
28.570439,77.189039,8.8,164.9,47.0,0
28.51647,77.150137,78.3,41.4,165.0,0
28.584066,77.18978,55.4,85.3,3.0,0
28.607902,77.236519,29.9,127.1,23.0,0
28.556004,77.20613,19.8,245.8,35.0,0
28.548784,77.278148,17.8,162.8,61.0,0
28.612554,77.171929,76.5,119.4,6.0,0
28.6065,77.253366,33.6,42.6,125.0,0
28.597213,77.188871,38.9,325.0,23.0,1
28.547193,77.274959,66.9,24.6,12.0,0
28.590773,77.257668,77.1,86.6,54.0,0
28.577186,77.26915,0.4,11.2,9.0,0
28.614794,77.210432,79.2,74.5,24.0,0
28.582558,77.284968,6.0,93.7,119.0,0
28.608562,77.135502,66.9,7.6,93.0,0
28.544959,77.240814,76.0,28.0,20.0,0
28.540658,77.225411,44.9,82.1,33.0,0
28.638377,77.260199,44.1,73.7,43.0,0
28.648768,77.214713,53.5,88.3,50.0,0
28.590864,77.169298,28.2,10.6,21.0,0
28.611882,77.163908,13.3,57.9,46.0,0
