lighting_percent,crowd_level,police_proximity_m,open_stores_count,historical_crime_rate,safety_score
97.26,77.89,313.4,21,2.17,82.5
79.76,46.42,3852.4,18,1.55,60.8
94.55,86.34,2905.1,19,2.92,73.6
90.53,41.89,2184.7,6,5.8,53.0
63.81,52.24,3746.0,21,4.29,47.5
92.97,47.94,4832.5,10,7.94,37.2
17.96,45.29,1223.1,17,1.89,49.2
27.64,74.77,803.9,24,3.16,57.6
14.07,52.41,4573.1,13,2.87,27.7
39.28,33.5,3377.9,15,2.08,44.2
44.98,28.23,2246.1,5,8.44,16.1
34.42,8.4,2909.0,1,3.35,13.0
84.59,57.49,3753.5,22,8.0,41.4
42.11,25.7,3887.9,10,3.38,32.6
35.28,18.33,4607.5,10,1.81,30.8
58.84,63.84,2191.5,9,1.1,66.9
22.68,66.31,1537.7,3,7.29,15.8
82.2,72.69,3234.4,16,0.37,69.5
16.71,50.32,2137.1,9,8.2,23.2
98.82,85.46,3013.5,8,3.61,71.0
79.5,89.27,2157.9,12,2.18,76.9
27.88,77.66,849.7,10,5.29,48.3
10.5,62.2,2400.2,9,1.22,41.4
83.39,32.33,3485.5,23,0.71,61.0
73.62,93.47,4016.5,4,7.05,40.0
75.61,29.67,2517.3,2,3.67,36.7
79.41,23.24,909.7,3,4.45,40.5
16.66,44.79,2132.0,2,1.58,27.1
42.26,10.12,3952.8,9,0.62,37.7
20.43,93.06,2123.0,23,3.19,46.8
87.68,57.96,3513.0,12,4.35,51.5
66.1,55.13,2585.3,4,6.53,34.9
39.78,64.02,1282.0,12,4.31,47.1
15.72,49.73,4001.1,23,6.67,20.3
37.99,7.89,512.6,0,1.07,27.7
39.27,60.11,2672.0,24,0.64,51.9
75.66,69.46,1123.6,10,1.43,73.1
67.38,42.51,428.6,2,6.58,40.7
89.85,73.16,2564.4,16,6.48,56.5
52.5,25.43,2547.9,18,1.29,52.0
20.76,24.91,3563.8,12,0.36,38.5
74.19,19.53,3749.3,15,5.86,31.1
78.47,38.48,3666.2,17,7.28,41.3
60.51,81.23,2106.8,22,6.43,49.8
79.39,79.51,3195.3,19,1.8,64.6
54.44,39.45,2927.0,22,5.0,38.2
57.05,58.02,2165.7,18,6.46,42.6
48.48,69.87,3026.3,5,2.25,49.2
12.29,26.71,4741.5,22,4.53,14.1
19.71,20.13,1045.2,6,2.74,41.0
12.83,92.49,4538.3,14,1.99,39.7
67.28,60.58,361.9,4,8.24,40.2
38.29,93.33,1611.1,15,7.77,37.2
55.77,35.4,1511.9,5,3.84,41.0
91.68,68.27,3169.2,2,1.25,58.2
32.44,25.03,743.0,11,6.21,29.5
46.93,28.51,4423.5,3,2.25,30.0
78.0,51.07,4159.9,21,1.52,59.4
30.59,33.77,3295.1,2,3.3,18.4
16.93,20.09,2346.2,15,4.55,26.9
36.08,28.66,4671.5,15,0.92,36.1
24.51,8.22,4170.7,22,4.9,20.5
93.67,68.4,2546.6,18,0.23,81.9
82.73,49.29,3539.2,14,7.59,41.7
67.01,13.48,2878.0,8,7.83,29.7
88.43,20.45,2980.9,19,6.26,37.8
82.33,14.23,1721.8,1,4.02,38.3
26.79,60.13,2364.2,5,2.24,39.3
90.33,13.48,482.8,13,6.35,53.9
58.54,72.89,1851.0,8,7.93,45.8
82.67,6.85,3509.6,9,1.43,54.6
90.65,27.44,4770.8,17,4.01,42.3
38.62,85.16,4819.0,14,2.75,43.2
19.9,69.67,2823.0,3,3.1,36.5
30.51,11.57,3072.4,4,3.51,14.4
48.44,78.9,1010.0,24,8.1,41.0
83.62,49.37,3507.0,22,2.27,59.8
87.47,81.21,446.2,20,4.24,74.4
10.63,59.07,1495.0,5,8.09,15.1
55.97,66.36,3375.0,24,4.1,50.2
47.57,94.42,1620.5,14,7.35,50.7
29.99,25.91,344.2,19,0.59,53.5
20.79,61.16,4176.2,1,8.11,5.0
40.39,46.43,1620.6,15,1.68,53.3
94.86,8.55,409.2,4,8.33,33.1
39.09,6.3,466.5,22,1.57,42.8
56.69,15.73,1333.6,3,3.83,33.4
73.27,63.42,972.3,0,2.69,50.5
42.73,56.04,3894.1,7,3.74,37.3
97.46,54.81,1676.3,20,2.2,66.6
96.62,7.87,4043.0,9,8.21,29.2
32.66,47.24,951.8,14,2.67,52.8
54.75,88.22,2515.1,1,5.59,29.8
37.08,40.78,3471.4,18,1.25,47.0
35.64,61.24,3294.8,11,7.02,28.7
13.32,75.18,3045.5,9,4.66,34.9
64.86,75.55,4631.6,11,8.33,31.9
55.24,51.74,1219.8,20,3.66,51.2
14.63,82.22,2519.2,19,1.74,53.8
35.08,40.22,4431.6,24,3.01,36.5
91.74,84.98,481.7,8,6.29,71.3
31.56,26.62,373.9,7,5.64,36.7
23.04,30.22,1243.2,1,6.64,11.4
54.05,9.78,3201.8,20,0.72,48.9
98.71,76.6,1373.4,23,4.98,68.8
31.78,42.53,1032.2,23,7.93,34.0
70.49,25.62,2348.1,6,1.01,57.0
78.55,25.86,3106.6,3,0.89,47.0
31.39,86.13,1317.9,18,6.12,45.0
75.54,80.05,1573.4,7,2.75,64.4
43.1,54.82,3106.4,23,5.63,37.3
66.91,60.45,4734.1,12,4.68,48.3
67.02,47.69,3406.2,20,8.38,28.9
58.22,40.25,3936.2,2,7.57,16.3
18.13,87.39,1897.4,4,5.8,28.9
85.18,16.31,1434.0,19,2.3,59.0
38.87,42.66,2325.9,7,2.3,40.9
26.79,36.01,4055.0,1,7.51,5.0
13.67,49.83,2335.9,23,5.02,32.3
63.18,46.19,4249.0,9,6.73,35.4
70.98,51.7,4945.0,21,3.88,45.1
11.49,17.59,452.9,15,0.97,41.7
56.09,51.18,322.5,3,2.89,45.2
30.38,26.82,833.0,13,1.45,49.1
68.07,21.59,1983.4,2,6.67,21.9
25.69,10.84,742.1,9,5.98,28.4
72.18,73.64,4366.3,12,0.84,62.3
44.81,43.47,213.4,4,5.32,36.2
94.31,61.4,1647.4,21,7.44,56.2
22.38,70.48,1005.0,16,5.96,41.6
40.7,66.14,4664.5,16,4.39,40.4
20.21,47.35,3380.5,10,2.72,34.9
93.22,39.91,4568.9,18,7.55,39.5
88.96,38.84,4864.4,17,3.65,54.0
33.21,62.6,2535.8,16,7.29,33.4
69.4,49.53,1248.2,10,6.68,51.8
83.55,81.42,1049.3,14,6.96,59.2
59.97,83.72,1192.3,7,8.41,43.0
57.67,20.35,3572.1,11,6.39,28.1
31.77,17.26,298.2,16,0.39,52.7
18.38,61.74,351.7,23,1.83,57.3
90.75,32.11,3079.9,4,0.4,53.9
91.04,6.67,3246.1,3,1.7,41.8
66.98,84.98,3359.8,23,0.62,72.3
40.51,25.42,1922.2,23,4.31,38.4
41.43,88.64,4049.1,10,0.34,59.3
75.34,69.57,2714.8,7,4.07,56.9
90.74,73.64,616.8,15,7.65,57.5
89.84,23.13,4005.8,15,6.39,35.4
80.19,26.08,4770.0,2,8.03,7.6
67.78,51.91,394.2,11,2.0,68.7
17.57,20.49,2017.6,23,4.56,30.0
24.55,32.49,2488.8,12,2.78,39.3
90.87,33.93,817.7,0,4.25,45.6
64.58,19.37,4351.8,3,4.78,25.2
10.83,23.47,1492.3,20,0.4,42.7
19.13,75.97,3936.7,5,2.06,35.0
69.72,20.05,3387.9,4,6.02,29.2
10.46,7.56,3030.4,4,6.59,5.0
24.47,61.64,1041.5,20,4.88,39.2
59.39,92.84,1181.4,24,2.37,69.9
72.27,34.81,332.0,9,3.5,59.0
68.68,15.68,1279.5,18,0.91,59.8
30.18,56.33,1792.7,17,8.11,26.6
74.1,86.57,4182.4,1,7.4,28.6
31.35,75.57,1895.3,15,0.65,58.3
39.29,61.03,3797.6,14,1.5,52.3
77.18,33.36,2253.3,23,4.98,45.3
68.47,53.77,3945.9,4,2.05,44.0
86.43,13.21,4883.7,20,7.95,25.2
69.19,66.11,1275.2,21,6.45,53.8
61.15,70.26,4325.5,8,2.4,56.1
18.43,91.85,3146.9,22,0.15,57.1
43.09,28.44,4104.7,4,6.82,11.5
33.87,6.66,3292.8,4,3.66,19.6
31.96,54.1,2177.4,8,5.5,39.3
97.57,68.61,1217.6,8,2.51,78.5
45.38,76.14,443.2,1,1.3,52.3
90.28,22.44,2724.0,6,5.77,43.0
66.8,28.56,4952.6,0,3.88,12.2
81.53,51.13,3716.4,19,2.08,58.1
55.24,34.75,1704.0,1,1.26,40.4
61.92,82.45,4153.3,24,4.98,47.4
54.33,47.64,3868.0,11,6.19,32.9
27.57,76.96,1480.0,5,2.48,47.9
75.02,57.26,170.1,19,6.28,59.1
35.27,74.58,679.0,18,1.64,63.9
12.19,34.94,4398.8,15,2.94,22.7
68.09,79.83,4199.2,3,6.36,28.0
25.94,29.71,1546.5,17,5.65,33.0
94.64,54.15,1497.5,4,2.37,60.1
95.85,24.26,3985.0,24,1.13,57.3
92.34,47.8,4694.9,21,0.46,61.2
43.31,33.64,3917.8,17,7.14,26.4
11.39,29.0,3067.3,5,0.73,29.5
93.55,92.03,1289.1,24,1.06,87.9
48.54,19.41,2676.2,13,2.1,45.9
97.0,75.86,1244.2,19,3.84,74.4
96.73,93.57,4059.3,16,6.73,60.5
86.77,6.79,1996.1,17,2.18,52.9
36.5,67.91,4185.1,20,4.67,33.4
44.66,27.76,1969.9,9,0.86,48.3
86.6,8.64,4138.3,22,4.0,43.2
38.52,41.26,1733.3,23,1.59,52.8
25.25,89.17,2256.7,18,1.87,54.1
60.11,6.06,3115.9,24,3.18,38.3
94.25,57.91,444.4,17,6.5,66.8
72.64,50.13,4746.2,3,6.35,22.2
61.31,83.6,2910.7,19,3.59,59.1
18.75,12.56,2588.3,14,1.1,33.5
65.35,66.34,4213.0,5,2.46,49.8
99.1,66.21,4342.2,5,4.34,53.0
22.61,65.22,2659.1,2,7.4,8.5
56.65,89.81,4643.6,8,8.23,34.1
88.96,79.08,417.2,10,5.45,63.9
76.67,8.78,654.8,4,3.05,48.5
72.73,47.4,3024.3,13,5.93,50.6
73.22,40.82,1834.9,1,2.92,34.2
42.35,32.91,2374.7,21,5.35,30.5
36.42,45.62,1707.6,18,2.15,50.3
82.84,39.58,2083.2,7,2.34,59.8
82.91,43.91,4131.0,12,0.73,59.7
88.04,93.13,3008.0,18,3.63,64.1
92.19,12.98,4987.0,4,5.29,28.0
56.02,88.0,3955.7,14,6.73,44.9
55.14,48.22,1441.0,3,6.91,37.5
81.85,61.14,1395.3,3,8.44,40.2
68.5,79.72,1745.9,17,0.84,70.1
73.18,37.44,4232.0,23,4.24,43.2
81.62,43.74,233.7,18,4.48,64.7
90.1,41.86,1227.9,19,6.86,51.0
40.42,38.73,4534.1,21,2.34,39.9
43.8,88.3,3235.5,8,0.68,64.2
18.46,79.6,1211.6,14,2.74,55.7
62.05,14.81,1173.8,11,8.36,33.9
13.23,14.73,4326.8,3,7.66,5.0
51.9,43.51,4479.4,2,3.42,22.2
58.84,13.88,1355.0,4,7.46,18.7
35.79,60.72,2160.5,24,0.38,58.4
63.17,17.93,4189.5,16,2.74,39.0
12.75,52.01,3877.9,4,6.21,9.3
13.36,5.65,4088.2,3,1.96,13.7
84.03,33.49,2640.2,20,1.77,65.1
42.42,65.95,4566.6,6,7.34,18.7
21.44,48.56,1697.2,6,5.27,28.8
57.0,93.04,867.7,6,8.41,44.0
79.3,83.67,3572.8,16,1.23,71.0
29.42,37.32,2742.8,24,3.09,31.0
66.06,9.09,4287.5,14,2.71,34.4
17.68,81.11,497.7,6,7.49,32.9
14.65,87.01,4234.1,14,2.24,44.4
57.82,78.86,1537.1,19,3.07,63.3
58.66,16.52,3308.8,3,1.3,36.4
67.37,94.81,296.6,1,6.61,46.0
75.35,28.27,3086.9,21,2.1,57.6
97.83,70.18,3614.6,12,0.67,79.4
56.47,86.72,1906.9,11,3.75,58.4
39.07,26.21,1155.5,9,3.39,46.4
81.57,86.74,2734.4,18,1.59,75.2
34.37,32.85,4182.6,14,1.22,46.8
49.51,92.88,1685.4,16,7.63,44.7
17.06,30.31,1337.1,20,0.67,45.5
12.28,90.81,1466.8,5,0.93,47.3
96.64,9.82,4750.7,4,2.16,36.8
85.24,68.83,1860.5,20,8.1,52.4
72.64,52.89,117.7,12,0.82,75.9
46.81,48.01,3930.2,13,6.95,29.9
25.6,25.11,3526.4,23,7.59,16.1
24.08,68.5,730.0,13,3.27,50.5
32.52,22.17,4926.0,14,2.57,27.5
59.43,54.76,3079.5,15,5.79,39.0
74.31,27.79,2553.8,9,6.0,39.6
69.42,91.01,1972.9,0,6.65,35.7
35.19,7.58,4503.5,23,7.08,12.0
95.94,22.98,1295.4,10,2.35,68.0
76.41,26.81,1500.3,6,5.87,43.7
59.89,42.27,699.8,16,1.23,69.1
65.05,25.95,3819.7,24,4.39,35.7
47.76,49.22,3018.2,3,5.25,25.4
32.3,83.52,3084.4,6,1.46,47.1
42.04,69.09,1170.5,2,0.74,53.5
78.21,57.2,3290.7,23,1.74,60.9
11.3,13.01,3850.7,19,3.63,22.6
20.45,67.46,1853.7,13,7.56,34.5
14.14,19.98,4026.6,17,4.57,19.1
13.67,75.77,1809.1,17,6.39,35.0
86.99,27.51,3814.9,23,1.56,56.7
73.33,42.53,265.3,23,0.99,70.8
52.68,36.54,2800.7,0,2.11,27.7
18.81,82.29,4850.7,5,2.74,30.2
54.25,16.39,4908.1,8,4.7,32.5
52.61,55.91,1480.6,24,7.5,37.1
25.59,17.79,2262.9,1,3.68,14.6
49.05,68.43,408.6,7,4.46,56.7
45.87,86.46,4379.4,23,0.14,58.8
65.43,44.11,2886.0,19,0.38,62.3
67.16,48.93,1987.0,3,0.8,48.0
14.08,88.47,652.6,20,5.97,47.5
43.72,51.89,4739.2,9,4.18,38.1
66.33,48.88,2698.1,22,1.72,58.3
55.28,57.05,1486.3,0,5.08,27.3
87.08,67.03,1816.1,10,4.67,66.0
69.28,14.62,1426.4,8,0.85,55.8
24.66,78.9,3048.9,18,5.48,34.0
16.35,44.2,4656.8,10,6.54,15.1
67.82,11.51,4297.8,3,2.51,32.7
12.39,75.76,2355.9,22,5.87,35.2
62.72,38.93,4149.8,4,1.78,36.9
94.62,14.03,2173.2,20,6.46,40.3
61.79,62.04,1336.3,16,7.76,44.8
44.94,84.21,4918.7,17,3.81,44.5
67.9,84.9,1589.0,4,2.15,60.9
51.24,91.19,1686.2,17,3.45,67.3
59.11,83.09,4949.5,16,2.2,53.6
94.73,5.19,756.2,2,0.11,49.2
44.75,39.22,3826.6,10,5.56,29.5
96.51,78.67,4685.5,16,0.46,74.5
91.48,37.96,2607.8,7,1.87,63.2
27.62,59.14,112.4,23,6.17,41.9
16.24,59.57,1937.8,7,5.69,29.4
19.07,37.85,646.7,22,0.72,45.0
11.64,86.4,2139.3,22,5.64,37.6
18.5,50.29,3971.1,1,7.92,5.0
71.47,46.83,2249.7,24,0.73,65.9
16.41,94.78,2216.4,6,3.59,44.5
38.71,49.42,2828.3,20,6.23,36.5
86.04,21.06,2950.3,19,5.71,40.7
12.09,51.18,4295.9,23,2.0,29.0
83.3,78.26,1610.9,20,1.47,75.4
35.37,74.92,4126.2,5,6.69,21.5
20.63,75.97,2873.1,19,8.13,23.8
72.71,68.72,1572.6,17,6.55,57.8
66.6,27.88,1546.1,6,8.19,30.9
88.97,82.59,1869.6,17,5.18,72.1
76.16,85.41,3151.2,11,7.9,47.7
82.31,22.47,1231.0,6,5.9,40.3
35.38,16.74,4609.6,6,7.73,5.0
25.97,92.8,2917.1,0,1.46,38.6
77.56,83.15,4608.1,9,6.95,41.8
82.62,85.39,327.4,9,1.75,84.5
99.15,84.77,1778.8,11,0.33,86.6
47.14,53.75,211.8,2,4.45,35.7
43.48,63.18,1434.0,2,2.77,44.7
79.88,54.08,4323.8,12,0.47,60.8
40.67,9.61,279.4,12,8.33,23.9
93.77,72.1,2237.1,5,5.7,54.2
87.26,50.48,676.1,2,7.68,37.1
48.61,63.29,2142.5,14,8.49,41.2
77.58,50.24,4210.4,8,3.39,54.2
77.91,49.26,3153.0,20,2.24,57.4
19.28,20.46,3710.1,5,1.64,22.3
91.23,30.08,1810.6,5,4.43,43.2
55.47,19.3,4727.5,7,5.19,25.1
84.38,22.61,3575.4,10,4.07,44.4
38.8,92.57,2166.8,18,3.35,56.6
90.6,18.78,2189.7,15,1.51,56.4
45.03,29.23,4601.6,8,3.81,31.2
10.98,58.15,2924.4,22,0.82,48.9
91.48,59.92,3561.3,10,7.37,47.1
18.22,18.86,2143.5,15,0.49,38.5
38.74,76.43,1196.1,5,3.3,48.8
95.51,75.67,3645.4,16,0.94,74.3
95.55,26.36,3078.3,15,6.61,51.2
61.61,30.98,2556.6,19,2.73,48.5
66.87,89.42,3157.7,20,1.05,65.8
50.36,79.31,1120.6,17,4.56,57.1
36.39,67.8,3990.3,0,7.8,7.0
39.58,12.4,4746.0,17,7.73,12.6
70.53,42.64,4466.4,7,2.2,49.6
77.71,55.34,1675.0,21,6.15,58.7
81.24,21.87,2089.4,9,0.35,62.5
81.07,45.34,4061.2,1,1.21,39.7
18.21,59.09,3016.1,8,4.3,28.5
54.5,34.46,2784.8,23,2.02,51.5
15.18,75.29,4640.5,3,6.81,6.6
59.46,80.64,2726.5,10,7.92,45.0
49.74,34.12,2623.2,9,0.14,53.5
89.89,80.48,305.9,13,2.06,88.3
41.58,14.32,440.1,6,3.79,33.8
20.54,80.4,136.4,18,4.83,52.9
22.87,18.75,4574.9,5,7.79,5.0
78.54,12.46,2101.1,15,7.59,37.2
65.64,62.76,2396.0,18,5.45,46.6
19.1,47.47,4242.4,18,2.26,35.3
17.57,86.71,3085.3,12,6.68,32.5
73.09,37.69,3086.6,11,1.8,50.9
16.55,30.84,1553.0,24,8.21,23.2
83.97,50.07,4186.2,21,0.15,63.6
73.56,46.04,912.6,14,4.89,60.9
17.32,36.0,360.4,7,0.84,48.0
17.64,67.44,1038.9,3,3.52,37.0
98.8,73.36,1411.9,19,5.43,65.7
43.68,81.77,1483.3,7,5.89,47.3
43.36,92.56,3385.5,22,6.7,41.8
83.15,29.0,1167.3,20,5.08,52.9
95.25,69.45,3415.6,15,2.21,66.7
98.74,40.48,546.5,15,7.57,46.8
77.8,65.94,821.3,1,6.91,36.2
43.86,47.84,2593.2,21,1.44,54.0
17.52,94.44,4617.3,16,7.04,22.4
79.94,70.6,4311.9,22,8.27,35.9
60.26,90.72,4846.9,24,5.45,41.0
48.18,80.15,3287.3,4,2.47,45.7
91.57,86.26,3411.5,4,5.2,49.1
20.01,78.3,3162.6,11,2.98,47.2
54.34,46.32,3151.8,6,5.78,35.0
11.02,27.66,820.9,4,4.68,21.7
52.18,38.33,2764.3,3,7.91,17.5
15.07,6.82,1991.7,16,5.29,18.2
20.69,52.16,2268.4,5,1.9,34.8
20.58,50.46,2665.6,13,6.19,29.6
68.43,52.27,729.1,8,2.63,67.6
77.14,92.66,1861.5,3,2.39,64.0
62.5,87.03,410.9,10,3.39,68.7
96.6,19.55,4900.4,19,0.2,57.2
43.74,38.2,680.8,20,8.24,30.5
35.71,43.16,1366.8,15,4.57,44.1
88.17,37.45,4467.3,15,6.6,33.4
30.12,76.86,2465.3,15,2.27,45.4
96.69,52.16,764.6,5,6.37,48.0
11.09,56.49,1982.7,14,4.86,26.6
97.29,81.77,667.8,2,3.66,68.1
13.88,77.53,1081.1,8,8.25,33.4
90.2,16.9,354.9,0,4.25,35.9
57.49,69.25,2247.3,10,5.62,48.4
99.37,44.19,4052.5,21,0.23,73.2
16.64,31.52,2971.2,5,2.63,26.6
59.85,9.5,3071.1,23,7.57,30.9
97.24,48.85,1082.9,4,6.48,48.9
57.08,36.99,1785.1,24,4.61,44.0
66.65,27.64,4241.7,24,7.66,23.2
72.62,67.52,530.5,17,4.18,65.6
50.91,74.25,4303.9,20,4.86,45.0
66.48,27.03,2470.1,11,3.31,48.9
62.59,9.45,4202.0,6,5.31,22.8
91.1,81.39,1658.2,1,2.78,62.1
14.09,5.9,1760.3,6,3.34,24.3
35.29,89.34,3782.9,8,8.22,30.5
95.54,61.49,3946.5,23,1.03,67.1
90.12,33.97,1225.3,24,0.98,70.9
51.01,27.18,4867.1,19,0.46,45.0
65.81,5.81,514.0,7,2.79,47.8
34.96,26.19,435.7,8,3.45,41.3
26.93,17.4,3018.0,9,0.89,37.1
51.73,60.09,3641.4,11,4.71,41.9
41.8,19.99,4808.3,1,5.0,9.5
62.53,52.58,2084.2,9,6.41,40.8
17.0,58.11,223.9,2,8.3,16.2
97.7,31.82,3054.2,0,5.3,30.5
98.76,8.16,1519.5,16,1.04,66.2
72.83,8.35,2221.4,21,0.84,60.4
58.25,7.37,2493.5,0,6.63,9.3
37.86,71.52,416.1,4,5.56,37.3
83.24,33.62,2481.3,13,1.46,65.2
71.63,76.67,2189.0,5,2.23,62.6
24.64,43.86,3591.5,8,6.4,19.8
91.98,45.77,3263.8,21,4.86,50.0
84.03,51.16,1007.6,13,5.01,61.9
95.48,69.17,1110.1,3,1.86,67.1
75.31,29.62,1329.9,0,5.38,28.2
65.21,15.94,976.9,5,6.57,35.6
47.64,55.05,3320.3,6,7.54,24.0
93.95,34.43,4972.7,20,6.29,40.9
87.95,44.82,3295.3,5,4.94,47.5
14.07,63.23,3072.7,23,5.76,27.3
12.37,49.47,2108.6,0,4.17,8.2
43.88,60.83,1631.6,7,2.01,53.3
82.95,53.98,4564.3,11,7.51,38.6
98.85,71.58,4848.1,10,4.57,60.1
23.54,68.53,2534.2,1,5.09,18.3
63.47,53.08,1522.0,1,8.42,27.6
44.28,66.1,3873.6,23,8.37,23.3
97.29,83.62,749.0,1,5.03,57.4
85.79,43.9,3851.4,7,0.39,61.0
85.45,42.15,4112.8,20,3.43,56.0
52.18,73.78,712.0,24,7.97,41.5
47.33,57.43,4886.6,24,2.52,43.8
34.61,11.39,4929.0,23,8.49,5.0
15.07,85.29,4689.9,24,0.81,49.6
87.83,7.77,2530.6,6,4.87,38.0
83.16,72.36,1305.8,15,4.43,67.7
99.97,73.29,2951.8,23,2.24,71.1
99.7,90.78,2157.7,21,8.07,61.3
59.99,9.87,1109.1,8,5.3,39.4
79.21,58.72,2176.0,15,2.03,65.4
95.03,43.51,3353.1,1,3.33,35.6
86.47,34.76,447.5,2,6.16,41.9
32.26,13.13,1733.7,1,2.6,17.8
50.55,55.64,187.2,21,7.49,41.3
21.62,48.11,3772.5,18,1.49,34.6
95.86,14.41,3239.4,16,2.32,52.9
64.56,60.12,407.1,19,1.32,72.9
30.58,71.42,4827.2,20,0.98,47.2
70.45,74.06,210.8,11,2.62,75.1
65.63,86.48,2990.8,10,8.49,39.8
42.23,41.85,3904.2,19,0.89,47.1
20.22,90.78,3960.7,21,1.89,45.5
70.44,82.89,268.0,18,2.38,78.8
56.83,31.69,4541.4,5,5.3,24.9
79.51,19.34,4600.4,9,6.36,30.0
56.81,44.19,2850.8,13,6.42,40.2
86.7,41.17,2462.2,0,0.17,51.7
59.67,56.81,319.9,14,5.58,50.1
60.48,57.5,2853.6,5,5.4,32.7
88.9,72.5,2106.0,12,4.45,61.2
46.31,50.89,3886.8,23,3.29,46.8
22.06,14.43,2079.0,13,6.8,16.2
12.59,82.25,3449.5,12,2.99,46.3
77.96,32.88,596.9,23,2.03,62.8
65.83,92.42,751.5,15,2.7,70.1
73.37,15.61,784.6,0,3.79,35.8
29.17,91.24,323.1,13,1.9,67.9
22.27,13.19,2752.5,12,5.2,23.5
11.31,25.79,3990.4,22,7.53,10.1
41.55,9.19,3091.0,9,5.1,24.2
63.09,68.46,2917.3,9,3.85,56.5
45.3,81.53,3435.1,3,6.79,26.9
49.37,44.07,1764.3,13,6.38,37.8
91.37,88.57,1873.6,11,3.18,75.8
41.34,58.13,1639.9,21,5.17,47.5
56.26,61.7,3589.3,5,6.23,32.6
80.53,81.09,892.0,14,2.16,70.8
45.69,31.71,163.8,4,3.18,44.8
65.99,36.88,3021.4,9,0.99,59.2
87.61,86.54,4717.7,8,8.4,42.9
95.46,86.09,3086.1,9,0.82,80.1
23.24,92.88,3936.3,23,1.52,50.6
93.39,86.17,3396.7,11,4.13,60.2
54.29,16.46,2537.4,21,7.37,26.0
33.24,79.14,3620.1,3,3.09,32.5
51.32,41.89,4138.1,3,6.56,16.0
98.2,94.17,1201.2,12,5.78,71.3
54.34,47.51,1747.0,24,5.46,46.8
39.59,54.85,1196.3,13,7.2,35.2
67.01,52.68,2315.6,11,0.22,69.3
31.61,33.96,4436.8,12,7.9,16.0
16.83,11.75,1791.5,19,7.07,21.0
21.6,85.61,1934.9,12,7.98,38.5
21.52,77.24,4315.8,22,6.77,31.1
23.67,17.56,2625.3,21,7.48,12.4
22.49,74.91,2723.7,1,1.81,32.9
67.68,61.33,4317.9,20,2.78,49.9
26.37,41.82,2503.6,18,2.75,49.9
41.11,27.86,3439.6,8,1.02,45.9
90.71,82.38,519.7,9,6.23,72.7
52.66,68.02,975.3,16,1.24,68.5
70.08,54.3,2081.4,9,0.54,60.0
25.51,59.86,2524.7,19,6.61,28.3
27.31,13.2,4832.1,12,7.7,5.0
13.68,47.65,4856.2,19,6.52,13.3
25.2,22.43,4270.9,24,7.03,13.8
35.07,23.75,1646.4,0,5.1,15.3
25.93,64.52,4823.7,1,7.56,5.0
17.98,87.01,3477.8,16,4.27,38.5
20.86,41.34,2025.4,12,8.4,18.7
51.47,23.7,3538.2,16,0.97,50.5
28.57,63.39,181.0,12,6.9,42.8
42.78,83.41,816.2,16,5.49,52.8
55.31,72.35,4165.5,18,4.98,44.0
