rapid_accelerations,hard_brakes,sharp_turns,night_hours_driving,driver_safety_rating
0,8,0,2.4,61.9
9,6,3,5.0,22.0
8,5,7,3.9,20.3
7,11,1,7.0,13.0
8,2,7,7.4,24.6
10,8,8,3.1,10.0
3,7,4,3.0,41.6
6,13,8,4.9,10.0
8,13,6,2.3,10.0
2,5,4,4.7,51.1
0,10,7,3.3,31.0
8,2,4,3.8,42.0
4,0,9,6.3,43.2
0,9,2,0.9,56.1
11,5,3,1.2,29.7
6,2,6,0.9,49.4
7,1,9,5.0,32.4
1,4,0,6.9,65.0
2,4,1,7.2,57.0
11,2,4,4.2,29.0
9,7,4,5.2,15.2
11,8,6,5.5,10.0
9,3,7,3.7,25.6
4,8,7,5.2,21.5
10,1,6,2.8,35.8
11,9,6,5.0,10.0
3,3,3,4.0,60.1
9,2,3,1.3,50.4
10,6,2,6.8,17.2
0,4,2,2.1,72.9
9,2,4,0.8,46.1
9,7,7,6.6,10.0
11,3,6,6.9,15.5
9,2,9,0.4,32.0
10,6,4,7.5,10.0
1,8,6,0.6,47.7
7,8,0,1.7,38.0
1,3,6,0.1,65.5
6,8,8,0.1,23.1
9,8,7,0.7,11.9
1,14,6,7.1,10.0
3,13,4,0.5,25.3
9,4,1,6.0,33.3
11,3,3,4.6,30.4
7,6,1,6.3,34.7
6,1,3,6.7,48.6
4,2,2,3.4,65.4
9,13,4,1.2,10.0
7,14,3,0.0,10.0
2,1,1,7.1,68.6
9,9,3,4.4,13.0
6,14,5,4.1,10.0
11,12,6,5.9,10.0
7,4,1,2.6,50.8
1,8,4,7.9,30.1
9,9,3,4.5,10.0
3,3,0,0.6,76.3
7,10,5,1.4,15.3
8,0,4,2.4,53.1
1,11,6,1.2,33.2
2,0,1,7.3,74.1
1,6,9,3.7,37.1
4,3,3,3.3,58.4
8,0,3,6.0,47.3
10,2,9,6.6,12.5
4,3,9,2.1,43.2
10,0,3,0.4,53.3
6,10,2,1.1,26.9
8,14,9,6.9,10.0
0,6,1,3.3,63.9
10,13,3,1.8,10.0
2,10,9,7.9,10.0
3,10,8,1.7,17.9
4,8,8,6.4,12.5
6,3,6,8.0,27.5
10,4,9,1.1,20.0
8,12,7,5.4,10.0
7,7,6,6.7,13.4
8,11,0,7.4,10.0
7,2,9,2.4,37.8
6,0,3,0.6,67.1
5,1,6,0.3,58.4
6,7,6,2.9,25.3
10,1,5,1.2,47.5
0,10,0,2.9,50.9
3,11,5,7.2,10.2
4,7,0,1.9,55.7
4,8,6,4.7,22.4
7,11,4,7.8,10.0
4,10,2,3.0,33.6
4,14,2,1.7,20.1
4,0,7,7.6,44.1
11,5,8,4.6,10.0
7,4,5,0.4,43.5
7,3,2,1.0,55.4
6,11,4,4.6,10.5
6,2,1,3.9,58.1
8,11,1,3.6,14.1
6,7,4,4.4,29.8
7,2,1,2.9,53.5
5,5,2,6.7,38.0
0,13,0,7.6,32.9
2,13,7,2.5,13.4
0,6,8,5.4,40.8
4,12,9,3.0,10.0
8,7,3,1.3,36.6
9,10,3,1.7,18.1
10,10,9,1.9,10.0
11,0,9,3.9,25.7
9,6,0,2.1,37.2
11,13,8,4.1,10.0
5,7,0,0.0,53.6
11,5,1,2.5,29.8
2,11,0,3.1,43.9
8,7,5,5.0,18.8
7,2,7,0.4,46.9
5,2,5,7.4,41.2
6,8,5,2.5,24.4
0,8,6,4.0,43.0
7,13,8,5.6,10.0
8,11,4,2.9,10.0
8,0,9,5.0,35.3
1,11,1,3.9,41.0
4,5,1,3.8,55.1
11,11,2,1.5,10.0
5,1,2,3.1,61.6
4,9,7,1.7,26.2
10,2,5,6.3,28.1
6,11,2,1.1,27.6
6,14,3,0.3,14.6
6,11,5,3.1,10.9
7,1,5,0.1,55.3
2,13,5,2.9,20.2
6,8,1,6.2,28.7
2,0,5,6.4,63.4
10,8,8,3.0,10.0
0,11,7,5.0,20.4
3,9,5,5.0,24.0
8,13,5,3.5,10.0
4,6,7,4.3,31.4
5,6,9,5.0,20.4
0,6,5,3.5,55.0
3,12,0,7.6,22.8
7,9,3,6.9,14.6
3,2,2,5.6,59.5
5,0,9,4.5,47.0
9,8,8,5.5,10.0
4,13,4,6.6,10.0
0,11,4,0.9,43.7
2,2,4,0.9,72.3
1,13,7,3.0,17.7
6,1,8,7.5,30.0
10,13,5,1.1,10.0
4,11,1,4.1,26.4
6,12,4,1.8,14.4
9,8,7,1.2,14.0
8,4,9,7.0,14.3
5,5,5,5.5,34.4
4,8,9,5.2,15.4
11,0,2,4.6,43.1
8,7,3,5.8,18.6
0,2,5,6.1,59.0
4,2,1,3.0,66.7
9,3,1,3.1,47.6
9,2,3,1.6,46.2
10,0,2,6.9,40.4
3,6,0,1.1,64.5
5,1,4,4.4,55.1
5,0,0,0.2,83.0
11,9,8,4.1,10.0
10,5,3,6.9,16.9
10,5,5,7.4,11.2
10,5,7,6.7,10.0
0,10,8,6.1,21.1
10,12,0,1.3,15.1
8,12,2,4.8,10.0
0,10,0,1.0,54.1
4,13,3,0.6,21.2
3,12,6,0.1,25.0
5,13,5,1.8,15.6
9,1,3,5.9,38.6
8,4,3,3.8,36.7
11,9,6,1.3,10.0
11,2,9,2.0,25.5
11,10,7,2.1,10.0
7,12,1,6.6,10.0
2,6,2,2.2,58.7
8,6,9,1.7,17.8
10,8,5,3.4,13.5
5,3,0,7.1,53.7
2,4,5,6.0,46.7
6,10,0,5.4,24.3
2,10,8,7.4,10.0
11,10,3,6.4,10.0
9,11,7,2.7,10.0
2,3,1,0.4,77.7
3,0,5,0.8,68.8
10,3,6,3.0,26.7
6,2,3,2.8,55.0
10,12,3,6.7,10.0
5,3,5,7.9,37.6
10,2,3,7.7,27.3
7,4,8,5.3,23.9
2,14,8,3.2,10.0
1,11,9,3.0,17.7
1,3,4,0.2,73.6
4,9,2,7.0,25.8
10,13,1,7.2,10.0
11,11,5,1.6,10.0
0,11,3,2.8,39.6
3,8,3,5.0,35.5
8,13,8,2.4,10.0
0,10,9,2.8,26.9
0,9,4,3.7,43.6
11,3,2,2.9,35.1
4,2,9,0.9,47.5
0,14,3,5.8,19.3
6,11,5,1.3,18.1
11,8,4,6.9,10.0
2,8,9,2.6,32.0
5,10,9,2.0,12.2
10,6,7,5.7,10.0
11,4,9,6.2,10.0
10,7,8,2.5,10.0
10,6,2,7.2,17.6
6,6,5,5.3,24.4
8,11,1,1.0,23.4
3,12,8,1.2,16.2
0,6,5,1.8,54.9
9,2,0,6.3,41.9
7,1,7,7.5,34.9
9,9,3,6.2,10.0
0,11,8,0.2,29.7
8,11,6,1.2,10.0
3,1,1,4.2,70.2
11,0,3,4.6,39.7
8,13,8,6.7,10.0
4,11,4,2.9,23.3
8,2,6,6.9,31.3
4,3,1,1.3,69.6
11,14,7,1.6,10.0
4,10,8,2.3,16.1
4,9,0,2.0,46.6
2,14,6,6.3,10.0
11,3,7,2.7,21.8
3,8,6,0.9,38.6
0,10,1,4.1,48.1
6,6,7,1.0,29.8
7,14,8,6.6,10.0
3,8,4,2.7,38.9
10,6,2,4.0,24.1
11,10,4,7.1,10.0
10,6,3,3.2,24.7
11,6,5,0.8,17.4
10,4,9,6.9,10.0
3,13,5,1.1,16.0
8,8,9,6.0,10.0
0,5,3,3.5,61.8
10,0,6,6.2,29.6
3,5,2,0.8,57.5
7,8,5,5.9,11.6
3,6,4,4.9,42.1
8,0,1,1.8,64.4
8,8,4,3.5,19.3
5,1,4,6.9,49.1
2,14,7,4.3,10.0
1,11,2,1.1,43.5
7,6,2,6.0,36.4
4,6,1,1.0,58.5
10,0,1,2.8,53.5
10,5,1,0.8,35.8
3,14,3,3.2,16.1
10,4,4,6.9,20.6
4,2,0,6.2,64.8
9,13,9,7.3,10.0
3,1,1,4.3,71.8
5,14,1,5.2,10.0
9,5,5,5.1,22.3
7,11,2,0.4,24.6
3,9,5,4.8,25.3
8,5,3,3.8,31.6
4,1,9,2.9,47.4
3,5,6,1.3,49.2
1,14,3,1.0,31.9
6,5,4,4.1,37.5
3,4,9,1.3,41.5
6,3,4,6.0,39.6
8,12,4,6.2,10.0
11,12,8,2.3,10.0
7,3,8,4.9,24.6
8,9,9,0.5,10.0
3,6,3,7.3,37.5
10,7,5,5.0,14.6
9,9,9,2.8,10.0
2,1,4,4.4,62.2
10,4,1,2.8,41.8
11,11,2,0.6,10.0
1,7,7,2.1,40.0
1,1,7,0.1,70.7
7,10,3,6.2,14.1
8,12,4,7.7,10.0
5,8,7,2.4,23.0
3,14,7,5.7,10.0
10,1,4,4.2,41.9
4,12,2,0.2,32.1
11,3,7,7.8,10.0
4,3,4,7.7,43.5
4,14,1,7.1,10.0
0,0,0,2.5,90.8
9,9,0,1.1,28.5
3,0,6,2.5,64.2
1,3,2,5.9,66.2
5,9,7,3.8,17.2
10,2,8,7.3,14.4
8,7,3,0.2,34.7
0,10,6,7.7,22.1
1,10,5,7.7,19.4
2,8,0,6.3,45.3
9,13,7,4.1,10.0
8,1,7,2.9,46.2
10,13,5,7.6,10.0
4,10,8,5.5,10.0
4,5,7,6.1,30.9
5,7,2,6.5,34.2
11,5,5,6.9,10.0
4,0,4,4.0,62.5
0,6,4,7.7,46.0
8,1,7,2.4,38.8
10,11,5,6.3,10.0
3,5,5,1.0,54.7
9,2,8,2.9,30.2
4,2,6,3.6,52.7
6,0,2,4.4,63.2
3,7,5,0.6,47.2
2,13,8,3.2,10.0
10,6,8,2.5,10.0
11,0,6,3.7,34.7
8,13,8,5.8,10.0
5,14,5,1.2,10.0
5,10,0,5.5,29.3
2,13,7,2.9,11.7
7,11,6,2.5,10.0
5,0,6,3.2,54.5
10,8,1,6.8,13.1
5,10,1,0.5,39.9
4,6,6,4.6,30.7
0,8,3,5.9,41.3
8,10,6,5.0,10.0
3,10,4,4.3,25.3
10,9,2,5.0,12.8
11,8,8,2.8,10.0
1,2,3,3.4,69.4
11,8,8,3.1,10.0
8,7,0,4.6,32.0
11,5,8,7.1,10.0
7,4,5,3.8,33.2
11,4,6,3.2,20.8
8,14,7,5.4,10.0
10,4,1,1.6,40.6
4,9,6,7.1,16.6
10,1,2,6.1,41.8
5,12,5,2.8,14.4
0,11,6,1.7,32.7
0,13,4,5.1,22.5
0,0,2,7.7,76.0
4,1,3,7.0,55.5
10,2,7,0.6,32.5
5,13,9,2.2,10.0
2,8,6,5.5,29.1
2,10,7,4.3,19.7
8,6,4,1.6,28.8
9,3,6,6.9,20.0
5,14,6,7.7,10.0
11,9,7,3.1,10.0
7,10,1,4.7,19.7
11,4,1,2.8,33.1
0,1,5,1.7,77.8
0,2,1,7.2,69.0
8,6,1,3.4,37.2
9,1,9,0.2,38.4
8,2,1,2.6,57.0
0,12,1,3.2,42.9
9,5,8,1.4,20.8
1,4,3,5.9,56.8
3,10,3,1.4,37.9
9,10,7,6.9,10.0
8,1,3,4.9,45.2
4,2,7,6.3,36.9
6,14,1,5.5,10.0
2,4,5,6.1,43.4
1,7,4,3.3,48.0
10,10,7,4.7,10.0
6,1,9,3.1,37.4
8,9,3,5.8,13.9
5,13,3,2.5,15.5
3,2,4,2.7,63.6
8,3,6,6.6,19.6
9,0,5,1.4,51.2
5,7,2,3.2,42.3
3,4,0,4.6,59.1
3,1,7,1.1,62.6
4,9,5,4.9,25.5
8,11,6,3.0,10.0
7,3,2,1.7,55.2
0,9,1,0.5,60.5
2,10,0,4.5,40.2
2,10,7,7.8,12.0
9,4,5,6.2,23.5
2,0,3,3.2,76.4
2,3,0,1.5,78.9
11,1,9,6.0,13.1
2,14,7,6.9,10.0
11,5,4,2.8,26.7
1,6,6,0.5,58.0
2,7,6,5.0,33.5
4,5,1,0.7,61.0
9,12,1,1.4,12.3
6,4,1,0.0,62.5
3,8,4,2.1,40.4
9,11,1,6.1,10.0
0,14,2,6.6,24.0
6,2,3,7.6,45.0
0,2,3,6.6,67.4
9,3,1,1.7,45.0
6,4,7,4.2,32.5
1,4,3,4.7,58.4
10,4,9,1.0,17.5
2,9,7,3.5,28.0
6,7,7,2.4,23.5
1,10,3,6.0,36.4
4,9,2,0.6,38.6
11,0,9,2.2,28.8
1,5,8,0.8,50.8
0,2,2,3.7,79.5
10,3,2,1.5,44.5
10,4,2,0.8,36.0
6,8,9,5.3,10.0
7,7,0,6.8,31.8
0,3,6,1.6,67.1
5,14,4,1.0,17.9
9,7,6,5.3,10.0
6,6,4,0.3,41.4
4,9,7,1.9,26.1
1,1,5,2.4,70.9
4,4,6,7.4,33.1
7,7,9,2.8,20.4
0,3,9,4.3,49.9
5,10,0,6.2,26.0
5,4,6,6.8,33.5
9,10,4,0.8,13.1
6,13,3,6.0,10.0
2,13,6,6.0,10.0
1,0,4,7.0,66.6
5,7,3,6.1,28.2
10,4,3,1.0,36.3
3,3,9,2.4,45.0
9,2,0,3.4,46.7
10,7,9,0.9,10.0
4,4,4,1.0,57.5
3,10,0,6.3,34.3
1,14,2,1.4,31.4
2,6,9,7.2,26.9
4,8,8,1.7,27.6
2,8,4,3.9,37.9
1,8,7,1.7,39.1
8,3,6,7.5,25.6
6,8,4,4.3,24.5
7,6,9,4.5,15.4
7,8,4,7.0,15.2
8,13,1,1.2,10.0
9,14,5,0.7,10.0
4,6,4,7.8,28.9
11,4,2,7.3,19.1
2,13,8,2.0,11.5
7,9,5,4.7,12.3
10,4,6,5.5,15.8
0,6,6,7.4,39.3
3,3,7,1.7,51.8
1,11,4,6.3,24.9
1,5,3,1.4,64.9
0,7,2,4.5,58.2
9,0,9,1.6,39.4
3,11,5,2.4,25.2
3,14,2,4.3,17.3
1,2,4,2.6,67.7
1,2,1,8.0,65.0
11,10,8,5.2,10.0
8,4,6,6.7,24.2
5,1,6,1.6,57.0
9,14,1,1.0,10.0
9,9,6,2.2,10.0
10,13,3,6.5,10.0
6,1,5,1.6,55.2
6,4,9,2.0,25.6
5,12,3,5.9,10.0
9,2,3,6.4,41.9
3,0,5,4.4,61.4
5,5,0,1.2,59.8
9,12,6,6.7,10.0
9,3,9,4.7,17.6
8,13,0,7.5,10.0
10,14,0,1.7,10.0
8,6,9,1.2,17.2
7,6,2,1.8,40.2
3,8,3,1.5,42.1
0,13,2,6.4,25.8
7,11,6,0.8,10.7
5,3,1,6.5,54.4
7,11,8,5.2,10.0
11,1,4,7.3,26.5
2,8,1,3.7,49.3
1,12,7,2.2,21.0
0,9,8,7.2,19.9
1,4,4,0.1,69.6
2,12,5,7.3,12.4
1,8,0,5.0,47.5
5,6,9,1.3,31.8
2,5,9,2.3,37.8
2,1,1,4.7,69.2
0,2,2,0.8,87.1
10,11,4,0.5,10.0
10,10,3,4.2,10.0
9,3,4,0.3,41.8
7,14,5,6.2,10.0
4,3,9,5.6,34.3
3,14,9,7.4,10.0
1,6,7,6.6,35.6
1,10,9,0.5,25.9
2,7,8,1.6,33.8
6,12,9,1.6,10.0
9,6,4,3.5,24.2
7,5,9,4.4,19.6
8,9,9,3.7,10.0
0,11,3,1.8,38.7
0,5,3,7.3,52.7
11,1,7,0.3,36.7
10,7,6,0.2,15.2
5,0,0,6.1,69.9
7,9,3,2.3,25.9
4,7,9,5.9,18.5
3,7,6,2.4,34.6
11,8,6,4.5,10.0
8,11,2,6.9,10.0
1,4,2,1.5,72.7
2,4,2,5.7,54.0
1,13,9,6.5,10.0
6,12,8,7.8,10.0
6,5,1,1.5,51.9
9,8,8,4.0,10.0
11,7,8,2.4,10.0
3,1,8,3.5,56.7
8,11,6,0.5,10.5
6,4,0,7.2,47.4
10,11,3,2.6,10.0
2,3,6,7.9,41.8
3,3,8,3.5,46.7
11,0,5,2.8,42.6
0,9,7,4.0,34.6
9,6,6,1.1,23.4
7,4,2,6.8,37.5
0,9,0,6.5,43.5
10,12,7,6.6,10.0
2,8,6,3.3,33.5
9,10,2,2.9,16.7
9,0,3,7.7,38.7
7,9,0,4.5,29.0
6,12,7,7.1,10.0
6,9,5,2.1,21.9
7,6,4,4.4,25.0
7,5,5,5.4,26.6
2,1,0,0.8,85.9
11,8,2,7.1,10.0
11,9,0,3.5,19.7
0,7,4,6.4,42.7
11,8,6,6.4,10.0
5,1,9,5.5,36.3
4,2,9,3.0,44.4
5,5,0,4.5,50.8
2,5,7,6.4,37.4
11,3,7,0.8,25.5
1,10,5,6.5,27.0
2,4,1,2.3,68.0
0,14,4,3.0,25.6
9,8,7,2.3,10.0
3,11,4,7.9,15.3
3,9,5,5.7,25.4
4,13,1,8.0,11.6
0,0,2,0.8,90.2
7,4,8,7.7,16.2
2,2,1,1.8,77.8
5,5,6,0.1,44.8
11,1,4,1.7,40.7
9,4,4,1.5,38.0
3,14,1,6.0,17.1
3,8,1,5.4,41.5
0,4,3,2.8,69.1
4,3,5,1.5,56.2
7,3,2,2.9,54.5
7,9,8,7.7,10.0
2,12,2,2.4,32.9
2,9,0,5.5,43.3
9,8,0,2.7,31.4
11,12,0,6.4,10.0
0,8,9,4.6,31.7
9,8,6,5.3,10.0
8,5,5,0.3,36.7
6,14,9,5.9,10.0
7,14,5,2.2,10.0
0,12,4,5.2,25.5
3,0,7,3.4,57.7
5,3,8,2.6,38.8
3,9,1,2.8,43.6
2,1,3,0.9,76.8
2,9,1,1.1,51.7
3,9,4,0.9,41.0
6,6,6,5.4,19.4
0,7,5,2.2,49.5
0,11,4,7.7,23.8
10,12,3,6.6,10.0
5,12,9,2.8,10.0
4,7,1,4.1,44.1
3,8,1,6.3,38.6
11,8,0,1.2,24.5
3,14,5,1.5,14.8
2,3,7,3.0,49.9
6,10,4,4.2,16.3
3,12,1,1.0,38.9
1,8,6,3.7,36.2
5,3,2,1.6,61.8
10,5,5,7.0,14.4
2,13,1,7.5,20.6
3,12,5,5.9,14.9
10,7,7,1.1,11.7
0,3,7,5.5,52.4
6,6,2,4.3,37.7
9,4,2,6.8,31.9
4,7,3,3.1,40.4
9,11,5,7.8,10.0
9,6,9,6.4,10.0
3,9,6,1.6,32.6
10,13,1,5.4,10.0
1,10,0,4.1,47.6
5,7,9,5.9,10.0
4,7,3,3.0,42.4
7,7,5,0.1,35.5
9,6,6,3.1,18.1
10,10,5,5.3,10.0
1,12,6,1.1,29.8
6,3,7,7.5,26.0
0,13,2,2.7,35.9
1,6,4,4.7,48.3
0,12,7,0.9,28.6
9,14,4,0.2,10.0
4,3,8,4.2,38.7
9,9,7,3.8,10.0
0,12,8,8.0,10.0
0,11,2,6.6,36.8
11,3,7,5.6,10.0
6,6,8,5.1,16.7
7,6,3,7.6,25.7
2,2,2,7.1,58.9
0,0,2,0.8,91.9
7,8,1,2.5,34.8
6,14,0,1.7,20.0
11,0,4,5.4,35.6
8,5,1,6.8,29.2
4,1,6,7.6,42.9
4,5,8,8.0,17.8
7,11,5,6.9,10.0
7,0,6,2.7,50.6
1,14,0,1.6,34.6
3,12,5,2.2,19.7
3,1,0,5.6,67.1
1,12,3,5.2,22.0
7,9,0,6.7,23.3
9,13,4,2.1,10.0
1,4,4,4.5,62.7
2,0,1,7.3,71.0
8,1,7,0.6,46.4
9,3,3,2.9,38.8
3,9,1,0.6,50.1
3,6,3,6.0,38.2
10,8,4,0.4,22.4
10,10,1,7.6,10.0
2,3,4,6.7,53.3
6,13,0,0.5,24.8
8,0,5,6.5,41.6
2,1,6,0.9,69.6
9,0,1,5.6,49.1
7,9,5,5.6,10.0
7,9,5,7.7,10.0
10,11,5,3.7,10.0
7,14,9,6.0,10.0
0,6,9,4.5,36.0
10,9,9,7.8,10.0
4,10,2,4.0,31.5
11,0,8,7.5,19.7
9,8,1,3.3,24.8
